,x,y,EVI
103,-7809714.978,1362023.558,3684.666748
104,-7809483.322,1362023.558,3552.333252
105,-7809714.978,1361791.902,2253
106,-7809483.322,1361791.902,782.375
107,-7809714.978,1361560.246,1463.866699
108,-7810409.947,1361328.589,182
109,-7809714.978,1361328.589,1214.722168
110,-7810409.947,1361096.933,1887
111,-7810641.603,1360865.277,1860
112,-7810409.947,1360865.277,2871.09082
113,-7809483.322,1360865.277,1486.558838
114,-7809251.665,1360865.277,2413.181885
115,-7809020.009,1360865.277,3108
116,-7808788.353,1360865.277,2094.675049
117,-7810641.603,1360633.62,2550
118,-7810409.947,1360633.62,2683.639893
119,-7810178.291,1360633.62,2768
120,-7809946.634,1360633.62,2862.513428
121,-7809714.978,1360633.62,3274.382324
122,-7809483.322,1360633.62,4004.774902
123,-7809020.009,1360633.62,3105.111084
124,-7810873.26,1360401.964,2792
125,-7810641.603,1360401.964,2617.714355
126,-7810409.947,1360401.964,2386.458252
127,-7810178.291,1360401.964,2502.380859
128,-7809946.634,1360401.964,3187
129,-7809714.978,1360401.964,3401.638916
130,-7809483.322,1360401.964,3067.558105
131,-7809251.665,1360401.964,2785.333252
132,-7809020.009,1360401.964,2750.79541
133,-7810873.26,1360170.308,2425
134,-7810641.603,1360170.308,2202
135,-7810409.947,1360170.308,2035.071411
136,-7810178.291,1360170.308,2992.285645
137,-7809946.634,1360170.308,3974.300049
138,-7809714.978,1360170.308,3000.15625
139,-7809020.009,1360170.308,2027.415039
140,-7810641.603,1359938.651,1813.25
141,-7810409.947,1359938.651,2415.5
142,-7810178.291,1359938.651,3245.75
143,-7809946.634,1359938.651,3459.697021
144,-7810178.291,1359706.995,3137.222168
145,-7809946.634,1359706.995,2719.478271
146,-7809251.665,1359706.995,1682.403809
147,-7810178.291,1359475.338,3286.888916
148,-7809714.978,1359475.338,2435.230713
149,-7809483.322,1359475.338,2729.100098
150,-7810178.291,1359243.682,2895
151,-7809946.634,1359243.682,3447.684326
152,-7809483.322,1359243.682,2820.739014
153,-7809251.665,1359243.682,2520.145752
154,-7809020.009,1359243.682,2031.851807
155,-7808788.353,1359243.682,1379.946411
