"","long","lat","EVI","Bio9","Bio16"
"1256",-77.6208333333333,3.07083333333333,4732,264,2142
"1257",-77.6375,3.05416666666667,4234,264,2112
"1258",-77.6208333333333,3.05416666666667,5750,264,2136
"1259",-77.6625,3.04583333333333,3579,NA,NA
"1260",-77.6458333333333,3.04583333333333,4899,263,2091
"1261",-77.6625,3.0375,4533,NA,NA
"1262",-77.6791666666667,3.02083333333333,2066,263,2038
"1263",-77.6708333333333,3.0125,4902,263,2043
"1264",-77.6458333333333,3.0125,4345,263,2080
"1265",-77.6875,3.00416666666667,4773,263,2025
"1266",-77.6791666666667,3.00416666666667,5203,263,2031
"1267",-77.6791666666667,2.99583333333333,4459,262,2024
"1268",-77.6708333333333,2.99583333333333,5474,262,2035
"1269",-77.6625,2.99583333333333,5187,262,2043
"1270",-77.6541666666667,2.99583333333333,4863,263,2058
"1271",-77.6458333333333,2.99583333333333,4787,262,2066
"1272",-77.6291666666667,2.99583333333333,5386,264,2102
"1273",-77.6625,2.9875,5896,262,2038
"1274",-77.6458333333333,2.9875,5070,264,2078
"1275",-77.6208333333333,2.9875,5656,264,2108
"1276",-77.6541666666667,2.97916666666667,3106,263,2059
"1277",-77.6458333333333,2.97916666666667,2313,263,2071
"1278",-77.6625,2.9625,4443,263,2035
"1279",-77.6458333333333,2.95416666666667,4872,263,2063
"1280",-77.6208333333333,2.95416666666667,4914,264,2105
"1281",-77.6041666666667,2.94583333333333,3859,264,2128
"1282",-77.6458333333333,2.9375,3826,264,2062
"1283",-77.6708333333333,2.92916666666667,5044,263,2014
"1284",-77.6625,2.92916666666667,5298,263,2030
"1285",-77.6541666666667,2.92916666666667,4719,264,2050
"1286",-77.6875,2.92083333333333,2909,262,1984
"1287",-77.6708333333333,2.92083333333333,4081,263,2013
"1288",-77.6625,2.92083333333333,5232,264,2034
"1289",-77.6375,2.92083333333333,4682,263,2064
"1290",-77.6875,2.9125,5115,263,1983
"1291",-77.6625,2.9125,5244,263,2023
"1292",-77.6458333333333,2.9125,4738,264,2052
"1293",-77.6375,2.9125,3510,264,2064
"1294",-77.6625,2.90416666666667,4823,263,2020
"1295",-77.6958333333333,2.89583333333333,5066,263,1966
"1296",-77.6875,2.89583333333333,5631,263,1983
"1297",-77.6791666666667,2.89583333333333,4478,263,1993
"1298",-77.6458333333333,2.89583333333333,3977,264,2044
"1299",-77.6791666666667,2.87916666666667,5561,264,1988
"1300",-77.6791666666667,2.87083333333333,5218,NA,NA
"1301",-77.7041666666667,2.8625,4246,264,1942
"1302",-77.6958333333333,2.85416666666667,5891,263,1948
"1303",-77.6875,2.8375,4593,263,1956
"1304",-77.7125,2.82916666666667,5108,263,1907
"1305",-77.7041666666667,2.82916666666667,4715,263,1922
"1306",-77.6958333333333,2.82916666666667,4842,263,1936
"1307",-77.6875,2.82916666666667,4610,263,1949
"1308",-77.6791666666667,2.82916666666667,4615,263,1964
"1309",-77.7375,2.82083333333333,4947,263,1858
"1310",-77.7291666666667,2.82083333333333,5036,262,1867
"1311",-77.6958333333333,2.82083333333333,4017,263,1931
"1312",-77.6875,2.82083333333333,4932,263,1945
"1313",-77.6791666666667,2.82083333333333,3748,264,1962
"1314",-77.6708333333333,2.82083333333333,4423,264,1974
"1315",-77.7375,2.8125,4909,262,1850
"1316",-77.7291666666667,2.8125,4707,263,1867
"1317",-77.7125,2.8125,2713,262,1897
"1318",-77.7041666666667,2.8125,4651,263,1914
"1319",-77.6625,2.8125,2998,264,1983
"1320",-77.7458333333333,2.80416666666667,4914,265,1826
"1321",-77.7125,2.80416666666667,4935,263,1890
"1322",-77.6791666666667,2.80416666666667,5095,264,1953
"1323",-77.7541666666667,2.79583333333333,5412,265,1810
"1324",-77.7458333333333,2.79583333333333,4226,264,1814
"1325",-77.7375,2.79583333333333,5001,264,1834
"1326",-77.7291666666667,2.79583333333333,5095,264,1850
"1327",-77.7291666666667,2.7875,4862,NA,NA
"1328",-77.7375,2.77083333333333,5278,263,1822
"1329",-77.7041666666667,2.77083333333333,4918,265,1895
"1330",-77.7625,2.7625,4550,265,1806
"1331",-77.7458333333333,2.7625,5215,264,1825
"1332",-77.7291666666667,2.7625,4193,264,1842
"1333",-77.7208333333333,2.7625,4518,265,1862
"1334",-77.7875,2.75416666666667,4978,264,1755
"1335",-77.7791666666667,2.75416666666667,5266,265,1778
"1336",-77.7625,2.75416666666667,4748,264,1800
"1337",-77.7375,2.75416666666667,4498,264,1832
"1338",-77.7958333333333,2.74583333333333,4083,264,1743
"1339",-77.7875,2.74583333333333,5283,264,1755
"1340",-77.7791666666667,2.74583333333333,3642,264,1771
"1341",-77.7625,2.74583333333333,4578,264,1798
"1342",-77.7291666666667,2.74583333333333,5159,265,1855
"1343",-77.7958333333333,2.7375,5174,264,1740
"1344",-77.7791666666667,2.7375,4985,263,1760
"1345",-77.7541666666667,2.7375,4822,264,1807
"1346",-77.7458333333333,2.7375,4624,264,1832
"1347",-77.7291666666667,2.7375,4432,264,1858
"1348",-77.7708333333333,2.72916666666667,5385,264,1785
"1349",-77.7458333333333,2.72916666666667,4793,264,1839
"1350",-77.7375,2.72916666666667,4326,264,1850
"1351",-77.7291666666667,2.72916666666667,4008,265,1867
"1352",-77.7875,2.72083333333333,5310,263,1743
"1353",-77.7791666666667,2.72083333333333,5044,263,1758
"1354",-77.7625,2.72083333333333,4803,263,1797
"1355",-77.7458333333333,2.72083333333333,4516,264,1839
"1356",-77.7791666666667,2.7125,5675,264,1769
"1357",-77.7708333333333,2.7125,3460,264,1783
"1358",-77.7625,2.7125,4231,264,1804
"1359",-77.7875,2.70416666666667,5835,265,1757
"1360",-77.7458333333333,2.70416666666667,3424,266,1845
"1361",-77.8625,2.69583333333333,4925,263,1601
"1362",-77.8375,2.69583333333333,5183,262,1635
"1363",-77.8291666666667,2.69583333333333,5377,263,1653
"1364",-77.7791666666667,2.69583333333333,4740,265,1772
"1365",-77.7708333333333,2.69583333333333,4702,264,1785
"1366",-77.7541666666667,2.69583333333333,4727,263,1814
"1367",-77.8791666666667,2.6875,5220,263,1558
"1368",-77.8708333333333,2.6875,5098,263,1575
"1369",-77.8541666666667,2.6875,3476,263,1608
"1370",-77.8375,2.6875,4525,264,1640
"1371",-77.8291666666667,2.6875,4211,263,1654
"1372",-77.7791666666667,2.6875,2267,264,1764
"1373",-77.7458333333333,2.6875,3901,264,1834
